city,country,population,gdp_raw,year,currency,gdp_type,geo_level,usd_exchange_rate,fx_year,gdp_usd,source_url,search_engine,source_tier,source_tier_label,source_domain,source_organization,method,evidence_text,evidence_path,weighted_quality_score,status,failure_reasons,llm_used,llm_attempted,model_name
Jequie,Brazil,156126,1609744754.0979946,2024.0,USD,,,1.0,2024.0,1609744754.0979946,https://api.worldbank.org/v2/country/BR/indicator/NY.GDP.PCAP.CD?format=json&per_page=60,tavily,1,tier1_official,worldbank.org,World Bank,downscaled_fallback,"fallback: gdp_per_capita=10310.5488778166, population=156126",fallback:country_gdp_per_capita*population,5.324,inReview,,False,,
Palmas,Brazil,306296,3158079879.0797133,2024.0,USD,,,1.0,2024.0,3158079879.0797133,https://api.worldbank.org/v2/country/BR/indicator/NY.GDP.PCAP.CD?format=json&per_page=60,tavily,1,tier1_official,worldbank.org,World Bank,downscaled_fallback,"fallback: gdp_per_capita=10310.5488778166, population=306296",fallback:country_gdp_per_capita*population,5.324,inReview,,False,,
Rajshahi,Bangladesh,984000,2551921458.938816,2024.0,USD,,,1.0,2024.0,2551921458.938816,https://api.worldbank.org/v2/country/BD/indicator/NY.GDP.PCAP.CD?format=json&per_page=60,tavily,1,tier1_official,worldbank.org,World Bank,downscaled_fallback,"fallback: gdp_per_capita=2593.41611680774, population=984000",fallback:country_gdp_per_capita*population,5.324,inReview,,False,,
Ribeirao Preto,Brazil,711825,7339306454.951801,2024.0,USD,,,1.0,2024.0,7339306454.951801,https://api.worldbank.org/v2/country/BR/indicator/NY.GDP.PCAP.CD?format=json&per_page=60,tavily,1,tier1_official,worldbank.org,World Bank,downscaled_fallback,"fallback: gdp_per_capita=10310.5488778166, population=711825",fallback:country_gdp_per_capita*population,5.324,inReview,,False,,
Rio de Janeiro,Brazil,6748000,69575583827.50642,2024.0,USD,,,1.0,2024.0,69575583827.50642,https://api.worldbank.org/v2/country/BR/indicator/NY.GDP.PCAP.CD?format=json&per_page=60,tavily,1,tier1_official,worldbank.org,World Bank,downscaled_fallback,"fallback: gdp_per_capita=10310.5488778166, population=6748000",fallback:country_gdp_per_capita*population,5.329,inReview,,False,,
Saidpur,Bangladesh,24338,63118561.45086677,2024.0,USD,,,1.0,2024.0,63118561.45086677,https://api.worldbank.org/v2/country/BD/indicator/NY.GDP.PCAP.CD?format=json&per_page=60,tavily,1,tier1_official,worldbank.org,World Bank,downscaled_fallback,"fallback: gdp_per_capita=2593.41611680774, population=24338",fallback:country_gdp_per_capita*population,5.319,inReview,,False,,
Sao Paulo,Brazil,12330000,127129067663.47868,2024.0,USD,,,1.0,2024.0,127129067663.47868,https://api.worldbank.org/v2/country/BR/indicator/NY.GDP.PCAP.CD?format=json&per_page=60,tavily,1,tier1_official,worldbank.org,World Bank,downscaled_fallback,"fallback: gdp_per_capita=10310.5488778166, population=12330000",fallback:country_gdp_per_capita*population,5.334,inReview,,False,,
Sydney,Australia,5312000,461440000000.0,2018.0,USD,Nominal,Metro,1.0,2018.0,461440000000.0,https://en.wikipedia.org/wiki/List_of_metropolitan_areas_by_GDP,tavily,3,tier3_general,en.wikipedia.org,,direct_parser,1 Sydney metropolitan area Australia AU$ 461.440 billion 344.926 2018 [ 86 ] || GDP (local currency) :: AU$ 461.440 billion,"table:7,1,3",3.633,ok,,False,False,
Victoria,Canada,92141,5006973979.496412,2024.0,USD,,,1.0,2024.0,5006973979.496412,https://api.worldbank.org/v2/country/CA/indicator/NY.GDP.PCAP.CD?format=json&per_page=60,tavily,1,tier1_official,worldbank.org,World Bank,downscaled_fallback,"fallback: gdp_per_capita=54340.3477224733, population=92141",fallback:country_gdp_per_capita*population,5.319,inReview,,False,,
Vienna,Austria,1897000,110536063017.50871,2024.0,USD,,,1.0,2024.0,110536063017.50871,https://api.worldbank.org/v2/country/AT/indicator/NY.GDP.PCAP.CD?format=json&per_page=60,tavily,1,tier1_official,worldbank.org,World Bank,downscaled_fallback,"fallback: gdp_per_capita=58268.8787651601, population=1897000",fallback:country_gdp_per_capita*population,5.329,inReview,,False,,
